id,date,amount,memo,category_name
281,2024-10-06,3461,"チャーリー","日用品費"
282,2024-10-06,6351,"グランデリズ","食費"
283,2024-10-05,960,"ケンタッキー","外食費"
284,2024-10-05,1680,"シマダヤプラス","日用品費"
285,2024-10-05,2755,"くら寿司","外食費"
286,2024-10-05,2090,"ダイソー","日用品費"
287,2024-10-02,718,"マルナカ","食費"
288,2024-10-01,5060,"縛られないWi-fi","通信費"
289,2024-10-01,7037,"マルナカ","食費"
290,2024-09-30,10000,"真生9月分","口座貯蓄"
291,2024-09-30,10000,"朱里9月分","口座貯蓄"
292,2024-09-30,60000,"朱里9月分","生活費用"
293,2024-09-30,60000,"真生9月分","生活費用"
294,2024-09-28,1550,"グランデリズ","食費"
295,2024-09-25,38000,"家賃等","住居費"
296,2024-09-25,12477,"電気9月分","水道光熱費"
297,2024-09-25,9007,"マルナカ","食費"
298,2024-09-23,3450,"スシロー","外食費"
299,2024-09-21,440,"ダイソー","日用品費"
300,2024-09-21,1797,"ニトリ","雑費"
301,2024-09-21,3054,"西村ジョイ","日用品費"
302,2024-09-20,1566,"イオン","日用品費"
303,2024-09-17,9635,"マルナカ","食費"
304,2024-09-16,2596,"肉壱番アリオ倉敷","外食費"
305,2024-09-15,2280,YouTubePremium,"サブスクリプション"
306,2024-09-15,1792,"ウェルシア","イベント特別費"
307,2024-09-14,12700,"平野ホテル","イベント特別費"
308,2024-09-08,4262,"ザグザグ","日用品費"
309,2024-09-08,7965,"ハローズ","食費"
310,2024-09-08,220,"セリア","日用品費"
311,2024-09-07,2695,"はま寿司","外食費"
312,2024-09-07,2000,"すき家","外食費"
313,2024-09-07,250,"ヤマダデンキ","日用品費"
314,2024-09-06,3459,"水道_0729-0906","水道光熱費"
315,2024-09-04,8980,"ルーター","雑費"
316,2024-09-02,8265,"マルナカ","食費"
317,2024-09-01,5060,"縛られないWi-fi","通信費"
318,2024-09-01,2489,"ニトリ","雑費"
319,2024-08-31,10000,"真生8月分","口座貯蓄"
320,2024-08-31,60000,"真生8月分","生活費用"
321,2024-08-31,10000,"朱里8月分","口座貯蓄"
322,2024-08-31,60000,"朱里8月分","生活費用"
323,2024-08-31,2188,"コスモス","日用品費"
324,2024-08-31,735,"セブンイレブン","外食費"
325,2024-08-27,11964,"電気8月分","水道光熱費"
326,2024-08-25,38000,"家賃等","住居費"
327,2024-08-25,9747,"マルナカ","食費"
328,2024-08-18,1074,"ラ・ムー","食費"
329,2024-08-18,1370,"麺や","外食費"
330,2024-08-18,1958,"しまむら","被服費"
331,2024-08-18,5764,"コスモス","日用品費"
332,2024-08-18,3275,"マルナカ","食費"
333,2024-08-17,1700,"ドンドン飯店","外食費"
334,2024-08-15,2280,YouTubePremium,"サブスクリプション"
335,2024-08-01,5060,"縛られないWi-fi","通信費"
336,2024-07-31,4800,"四国水族館","雑費"
337,2024-07-30,61958,"アート引越センター","イベント特別費"
338,2024-07-29,2700,"洋食屋五右衛門","外食費"
339,2024-07-15,2280,YouTubePremium,"サブスクリプション"
340,2024-06-25,2815,"ガス_2024年6月25日まで","水道光熱費"
341,2024-06-15,2280,YouTubePremium,"サブスクリプション"
342,2024-06-10,6044,"ガス_2024年6月分","水道光熱費"
343,2024-06-03,5390,"水道_0401-0603","水道光熱費"
344,2024-05-15,2280,YouTubePremium,"サブスクリプション"
345,2024-05-09,5665,"ガス_2024年5月分","水道光熱費"
346,2024-04-15,2280,YouTubePremium,"サブスクリプション"
347,2024-03-15,2280,YouTubePremium,"サブスクリプション"
348,2024-02-15,2280,YouTubePremium,"サブスクリプション"
349,2024-01-15,2280,YouTubePremium,"サブスクリプション"
350,2025-10-05,8620,"ハローズ","食費"
351,2025-10-13,8701,"マルナカ","食費"
352,2025-09-07,4094,"マルナカ","食費"
353,2025-09-04,13694,"マルナカ","食費"
354,2025-08-22,1180,"マルヨシ","食費"
355,2025-08-19,7966,"マルナカ","食費"
356,2025-08-16,2237,"マルナカ","食費"
357,2025-11-03,3120,"四六時中","外食費"
358,2025-10-31,3432,"ジョリーパスタ","外食費"
359,2025-03-01,38000,"家賃","住居費"
360,2025-04-01,48000,"家賃＋財形","住居費"
361,2025-05-01,48000,"家賃＋財形","住居費"
362,2025-06-01,48000,"家賃＋財形","住居費"
363,2025-07-01,48000,"家賃＋財形","住居費"
364,2025-08-01,48000,"家賃＋財形","住居費"
365,2025-09-01,48000,"家賃＋財形","住居費"
366,2025-10-01,48000,"家賃＋財形","住居費"
367,2025-11-01,48000,"家賃＋財形","住居費"
368,2025-12-01,48000,"家賃＋財形","住居費"
369,2025-09-25,10000,"朱里9月分","生活費用"
370,2025-10-25,10000,"朱里10月分","生活費用"
371,2025-09-25,10000,"朱里9月分","口座貯蓄"
372,2025-10-25,10000,"朱里10月分","口座貯蓄"
373,2025-10-15,4620,"水道_0707-0905","水道光熱費"
374,2025-04-24,13767,"四国電力","水道光熱費"
375,2025-05-27,13679,"四国電力","水道光熱費"
376,2025-06-25,11933,"四国電力","水道光熱費"
377,2025-07-25,10394,"四国電力","水道光熱費"
378,2025-08-26,12942,"四国電力","水道光熱費"
379,2025-09-25,11807,"四国電力","水道光熱費"
380,2025-05-15,2280,YouTubePremium,"サブスクリプション"
381,2025-06-15,2280,YouTubePremium,"サブスクリプション"
382,2025-07-15,2280,YouTubePremium,"サブスクリプション"
383,2025-08-15,2280,YouTubePremium,"サブスクリプション"
384,2025-09-15,2280,YouTubePremium,"サブスクリプション"
385,2025-10-15,2280,YouTubePremium,"サブスクリプション"
386,2025-04-24,4070,"NTT西日本","通信費"
387,2025-05-24,4070,"NTT西日本","通信費"
388,2025-06-24,4070,"NTT西日本","通信費"
389,2025-07-24,4070,"NTT西日本","通信費"
390,2025-08-24,4070,"NTT西日本","通信費"
391,2025-09-24,4070,"NTT西日本","通信費"
392,2025-10-24,4070,"NTT西日本","通信費"
393,2025-10-11,2350,"よつばウィメンズクリニック","医療費"
394,2025-10-18,9600,"よつばウィメンズクリニック","医療費"
395,2025-10-21,1820,"よつばウィメンズクリニック","医療費"
396,2025-10-25,1840,"よつばウィメンズクリニック","医療費"
